address,before,after
0x18139F297cCf99A686C847eb5406B62e5330837F,13941319021337299338162,260060085948019997241
0xAaC7D612C1f23A45967f772Ea587963952CC0B80,4219831116457981497690,1422835781186032
0xcb84A9c28e74A87E118Cf23889CF2D4C16dE8c5e,207384287259483159856,102384539312384406311
0xCa423977156BB05b13A2BA3b76Bc5419E2fE9680,824175033945607324,2276468097834110870
0xBc3a058D1c919f6b1F48E8846246D04D467902c8,0,0
0x0000000000000000000000000000000000000000,0,0
0x82079d8B7fa26D82b3db500c84b213b4B6A013c7,832155094753221023653,887195009178598081201
0xD4FE5d6111bCC563Dbc1830CB30ce8140628123F,0,5073765376588506510327
0x0B58857708a6f84e7EE04BEAEF069a7E6D1D4A0b,115051150,0
0xd7F1Dd5D49206349CaE8b585fcB0Ce3D96f1696F,0,0
0xE81B24bcD0a706ae3Ece36C42CF96c010EEeF37a,0,0
0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,0,0
0xAEE23b2c38732a191aa5CE33D2db5efCf51868Ae,7521403826732296559778,0
0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,0,1638111116111790713
0x375c338B3D60b0Ad80684648Cbef4C33eE8F74D8,0,0
0x0762248fa639a8c365F004c5753E5D9C302112D3,3898732756244007977,0
0x862268aae81a90e7976a4b4EEEceF6c1fb08bFdb,0,0
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,4311053367335580376539,0
0x8a8fd287f9C0D69c8D749b32e10a1e0A96dedCf3,15080922461113070284859,5080922461113070284859
0x711B4F66c19a741D7dB95AC87641BD8635FB21c8,14348580000000000000000,14862268789718054800000
0xd0cCFeEF904cCE8e0C70014dB37e5133a6A8AA1c,513688789718054800000,0
0x83E57888cd55C3ea1cfbf0114C963564d81e318d,244479052315707175659,0
0x39041F1B366fE33F9A5a79dE5120F2Aee2577ebc,35063287227533817590,0
0xA6E941eaB67569ca4522f70d343714fF51d571c4,0,0
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,3361815916000085424183,0
0x9E157a10A921e7fBC268B46eAa26C8A5e9da0Cb3,0,0
0x0a2854Fbbd9B3Ef66F17d47284E7f899b9509330,0,0
0x1299A2d0E00bbc4B71e4780eD483D11B02c792Fa,0,0
0x65C20b3E50Fc7575FDEa5a76F99a2c4140155531,6773421732670842828029,0
0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC,12532374430840393447150,0
0xa70b69f752C0dBd6ac07Fcf243a9960469735c4C,0,0
0x6E4141d33021b52C91c28608403db4A0FFB50Ec6,0,1
0x405Bb3Cdf23833bb27BAD6629b7cd4f01688235f,138112123182164103000,0
0xfA49F8134549F1946Ed167D0e64F612075e8838A,0,0
0xeAD571eDa530604e6Bb354B0D574efaB23c60d69,0,87125056654965847
0x3E4fDd0e9dfd280634878F6A7DAF5aF75cE499D0,84080000000000000000,0
0x006d9f269695Ad9eB8f727f042eE380684332916,0,0
0x61D1E5E08c20B5628Bc81f67952dbD01441CbFFB,0,0
0x884Ff907D5fB8BAe239B64AA8aD18bA3f8196038,81857416406069189690,0
0xB8fc6Bf89E16e66b5FA9aA44b8393a588Cf1e77c,0,0
0x05A1ff0a32bc24265BCB39499d0c5D9A6cb2011c,11405864659628467038270,0
0xe48a8FC015AA80275f35500f40c6B78e02f3B708,0,0
0xbbbF9761eD965d8Df66f416b01BBCb224AEafD4F,451192533300000000000,0
0x006004d6c39590d39310a0d34181e15d9aDe3902,0,4511925333000000000
0xB941365430A16659658bb23B88eFAede1D839354,1587028944832641299014,0
0x8FC83879bB5fd3a6177Ad3DC1239ae1A6866a642,2472500000000000000000,0
0xaD2DCb058f10B4e11611F9c1fC0aA1A532E270D6,3341416707782569085726,0
0x8Aac40061E258d6e45Fd13E214710ABDF356285a,2460043404609818357945,1460043404609818357945
0x0a1f2e1a4585bbf5E54a894FffA74133654BfaDC,64708931203228528750,0
0x404a8094656CBfe38353F637E815fCc05820E949,0,64708931203228528750
0x00C600b30fb0400701010F4b080409018B9006E0,1,1
0x27ABc2B0DFb20c0314748EFAd0826266B99d2BE0,5679791029218180000,0
0x1d3960155fc7aEEc56Fed24b109A21fCdF78A21e,0,0
0x4ACb6C4321253548a7d4Bb9C84032Cc4eE04bFD7,0,49698171505659075
0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,0,0
0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,4910345461742856432052,0
0x08F498Ad4952628546D8EE700605b9131a0C6e8e,0,114346341352903228
0xD2BC5cb641aE6f7A880c3dD5Aee0450b5210BE23,111275480305506040000,0
0xcA35abDf2E301De5Ce602BBBE70BDb94885c9028,0,0
0x8C864D0c8E476Bf9eb9d620C10E1296fb0E2F940,0,0
0xcD6b980029E6E6e0733ac8eC3E02be9410D09799,0,2273129120579882250
0xf503017D7baF7FBC0fff7492b751025c6A78179b,3165681555832827686204,0
0x634977e11C823a436e587C1a1Eca959588C64287,86105374703989057790,0
0xf924fF0f192f0c7c073161e0d62CE7635114e74f,2319500530089448836,130993020720624991875
